group,n_samples,positive_rate,auc,auc_gap,fpr,fnr,precision,recall,demographic
Asian,50,12.0,0.697,0.0384,0.3864,0.3333,0.1905,0.6667,Race
Unknown,283,10.6,0.6814,0.0228,0.3834,0.3333,0.1709,0.6667,Race
Caucasian,10381,9.01,0.6718,0.0132,0.3824,0.369,0.1404,0.631,Race
AfricanAmerican,2761,8.58,0.6202,-0.0384,0.4093,0.4473,0.1125,0.5527,Race
Other,226,8.85,0.584,-0.0746,0.3835,0.5,0.1124,0.5,Race
Hispanic,294,9.18,0.5575,-0.1011,0.4007,0.6296,0.0855,0.3704,Race
Female,7403,9.12,0.6606,0.002,0.3958,0.3793,0.136,0.6207,Gender
Male,6592,8.8,0.6563,-0.0023,0.3796,0.4034,0.1317,0.5966,Gender
<30,580,8.28,0.7103,0.0517,0.3947,0.2917,0.1393,0.7083,Age Group
>60,8697,9.19,0.6576,-0.001,0.3912,0.3892,0.1364,0.6108,Age Group
30-60,4718,8.65,0.6543,-0.0043,0.3817,0.4044,0.1287,0.5956,Age Group
